Sensor,median_signal,abs_median_signal,signal_std,noise_median,noise_ratio,deriv_noise_median,snr_median,snr_p10,loop_ratio,residual_ratio,piecewise_high_ratio,noise_pass,snr_pass,loop_pass,residual_pass,steps_pass,std_pass,deriv_pass,overall_score,overall_pass,Filename,Timestamp,model_rmse,model_pass,Chip Spread,Chip Pass,anomalies_count,step_count,anomalies_pass,ref_points_rmse,ref_points_pass,Machine SW
SM_R4C1:Coherent Mass Density,4.6022134768335966e-08,4.6022134768335966e-08,4.1565175024801764e-10,1.4191958524846766e-10,0.0030836575118761,1.1150429125344556e-11,665.0486793185823,114.24778374844918,,,,True,True,,,True,True,False,0.762881470475709,False,2025-11-27_THE_DANIEL_TEST_SIR06-3_Coherent Mass Density_DiffractionEfficiencyAlgorithms_SIGNAL__FROM_INT_BOUNDING_BOX (1).csv,2025-12-17 17:05:47,0.070139782244437,True,9.98805647179304e-09,True,66.0,3.0,True,0.0,True,1.19.20
SM_R4C2:Coherent Mass Density,3.8715227651570475e-08,3.8715227651570475e-08,4.2186597861048127e-10,1.5094839043711969e-10,0.0038988403466265,1.083464968765028e-11,525.4284665180326,80.35221380600234,,,,True,True,,,True,True,False,0.8306275706076145,False,2025-11-27_THE_DANIEL_TEST_SIR06-3_Coherent Mass Density_DiffractionEfficiencyAlgorithms_SIGNAL__FROM_INT_BOUNDING_BOX (1).csv,2025-12-17 17:05:47,0.0505974855392981,True,9.98805647179304e-09,True,16.0,1.0,True,0.0,True,1.19.20
SM_R4C3:Coherent Mass Density,4.5648533227295475e-08,4.5648533227295475e-08,3.736053129815811e-10,1.2666350610935739e-10,0.0027746944416426,1.0248556058267903e-11,682.0776279475923,86.84626948530095,,,,True,True,,,True,True,False,0.8507980006325938,False,2025-11-27_THE_DANIEL_TEST_SIR06-3_Coherent Mass Density_DiffractionEfficiencyAlgorithms_SIGNAL__FROM_INT_BOUNDING_BOX (1).csv,2025-12-17 17:05:47,0.0429550078300726,True,9.98805647179304e-09,True,12.0,2.0,True,0.0,True,1.19.20
SM_R4C4:Coherent Mass Density,5.2846991986771854e-08,5.2846991986771854e-08,9.261484790186163e-10,1.4690248574361982e-10,0.0027797174541729,9.519355365519848e-12,597.527815532405,87.38895074515854,,,,True,True,,,True,False,True,0.7804307543277033,False,2025-11-27_THE_DANIEL_TEST_SIR06-3_Coherent Mass Density_DiffractionEfficiencyAlgorithms_SIGNAL__FROM_INT_BOUNDING_BOX (1).csv,2025-12-17 17:05:47,0.0420888986692415,True,9.98805647179304e-09,True,35.0,3.0,True,0.0,True,1.19.20
SM_R4C5:Coherent Mass Density,5.4166838693226454e-08,5.4166838693226454e-08,6.824652650459981e-10,1.4481232278181503e-10,0.002673400421271,1.0919519212781032e-11,595.2545421084654,101.75604307354334,,,,True,True,,,True,False,False,0.8040416260988609,False,2025-11-27_THE_DANIEL_TEST_SIR06-3_Coherent Mass Density_DiffractionEfficiencyAlgorithms_SIGNAL__FROM_INT_BOUNDING_BOX (1).csv,2025-12-17 17:05:47,0.0457019435604789,True,9.98805647179304e-09,True,12.0,3.0,True,0.0,True,1.19.20
SM_R4C6:Coherent Mass Density,5.4202879593317956e-08,5.4202879593317956e-08,3.9404895958738677e-10,1.4148003931556882e-10,0.0026101459965055,1.0841284621683334e-11,785.9222132033107,105.25105723715087,,,,True,True,,,True,True,False,0.8205729843383924,False,2025-11-27_THE_DANIEL_TEST_SIR06-3_Coherent Mass Density_DiffractionEfficiencyAlgorithms_SIGNAL__FROM_INT_BOUNDING_BOX (1).csv,2025-12-17 17:05:47,0.05448741402847,True,9.98805647179304e-09,True,27.0,3.0,True,0.0,True,1.19.20
SM_R4C7:Coherent Mass Density,6.470281877657351e-08,6.470281877657351e-08,4.3484260293423635e-10,1.4238263599492158e-10,0.0022005290983918,1.3793010636476787e-11,717.471170424853,107.28219038308352,,,,True,True,,,True,True,False,0.8224741325775838,False,2025-11-27_THE_DANIEL_TEST_SIR06-3_Coherent Mass Density_DiffractionEfficiencyAlgorithms_SIGNAL__FROM_INT_BOUNDING_BOX (1).csv,2025-12-17 17:05:47,0.0557486577510393,True,9.98805647179304e-09,True,5.0,5.0,True,0.0,True,1.19.20
SM_R4C8:Coherent Mass Density,6.547637707026592e-08,6.547637707026592e-08,4.5435918412599663e-10,1.567905560255653e-10,0.0023945760053477,1.4058262971365476e-11,673.7283709397047,111.78178346288736,,,,True,True,,,True,True,False,0.7960360138001125,False,2025-11-27_THE_DANIEL_TEST_SIR06-3_Coherent Mass Density_DiffractionEfficiencyAlgorithms_SIGNAL__FROM_INT_BOUNDING_BOX (1).csv,2025-12-17 17:05:47,0.0619915731779867,True,9.98805647179304e-09,True,22.0,4.0,True,0.0,True,1.19.20
SM_R5C1:Coherent Mass Density,6.223282885628733e-08,6.223282885628733e-08,6.531114273776687e-10,2.0808035563675867e-10,0.0033435248876823,1.5578241849045295e-11,628.1996248570206,108.61228766953252,,,,True,True,,,True,False,False,0.7478991355804804,False,2025-11-27_THE_DANIEL_TEST_SIR06-3_Coherent Mass Density_DiffractionEfficiencyAlgorithms_SIGNAL__FROM_INT_BOUNDING_BOX (1).csv,2025-12-17 17:05:47,0.0882113723302154,True,9.98805647179304e-09,True,16.0,3.0,True,0.0,True,1.19.20
SM_R5C2:Coherent Mass Density,4.546816664973667e-08,4.546816664973667e-08,7.04398746715851e-10,1.7205781502905618e-10,0.0037840547277778,1.1869505629224297e-11,528.6563988706588,62.340462257215066,,,,True,True,,,True,False,False,0.7512009891989609,False,2025-11-27_THE_DANIEL_TEST_SIR06-3_Coherent Mass Density_DiffractionEfficiencyAlgorithms_SIGNAL__FROM_INT_BOUNDING_BOX (1).csv,2025-12-17 17:05:47,0.0756659051794904,True,9.98805647179304e-09,True,33.0,1.0,True,0.0,True,1.19.20
