SM_R4C1_timestamps,median_pass_3
23.648743,9.559195985883024e-09
26.461041,9.556490335937186e-09
27.923515,9.553784685991349e-09
29.480306,9.551079036045513e-09
30.936669,9.549755330161931e-09
32.393032,9.548431624278349e-09
33.849395,9.547107918394767e-09
36.762122,9.545784212511185e-09
38.218485,9.544460506627603e-09
39.674849,9.543136800744021e-09
42.688003,9.54181309486044e-09
44.345222,9.540489388976857e-09
47.15752,9.540070812066081e-09
48.613883,9.539652235155305e-09
50.070247,9.539233658244528e-09
51.52661,9.538815081333754e-09
52.982973,9.53839650442298e-09
57.050778,9.537977927512203e-09
58.507141,9.537559350601427e-09
59.963504,9.53714077369065e-09
61.520296,9.536927756013667e-09
62.87623,9.536034258288555e-09
64.433022,9.534688020508198e-09
64.734307,9.533752453109452e-09
69.103396,9.532884930227423e-09
70.559759,9.530972502432529e-09
72.016122,9.528519277301442e-09
73.472486,9.526715299426757e-09
74.928849,9.52506979260224e-09
76.385212,9.5217103696647e-09
80.754301,9.51631264962552e-09
82.210664,9.511924049208434e-09
83.667028,9.509532531533025e-09
85.12339,9.506401729557383e-09
86.579753,9.50284793982608e-09
88.036116,9.501018821222554e-09
89.49248,9.500098591996549e-09
93.560285,9.498473579948185e-09
95.016648,9.496733939362814e-09
96.774296,9.496083958586163e-09
98.230659,9.496083958586163e-09
99.687022,9.496083958586163e-09
102.198035,9.495433691141148e-09
103.654399,9.492845361818716e-09
106.767982,9.487247173291261e-09
108.425201,9.478852725667996e-09
109.881564,9.469859462313107e-09
111.337927,9.461858021013624e-09
112.79429,9.45432042042437e-09
114.250654,9.446805735898935e-09
116.862095,9.438527544406218e-09
118.318459,9.42818468383401e-09
119.774822,9.418434116966318e-09
121.231185,9.412803114880435e-09
124.445196,9.409521465716845e-09
125.901559,9.405910395919362e-09
127.357922,9.402534304159753e-09
128.814285,9.400841523971924e-09
130.270648,9.400070340097473e-09
131.727012,9.399105824857293e-09
134.639738,9.398240844655617e-09
138.607115,9.396952628233457e-09
139.008827,9.394607786712356e-09
141.620269,9.391232659984123e-09
143.076632,9.388124588594221e-09
144.432567,9.386061429859053e-09
144.834279,9.38351124406481e-09
149.203369,9.380555170109978e-09
151.81481,9.378487485241905e-09
153.170746,9.376950470420069e-09
154.627109,9.374438737536211e-09
156.083472,9.37111748863627e-09
157.539836,9.36818709803979e-09
157.941549,9.364867356157183e-09
162.310637,9.36127740968059e-09
163.767,9.359054580277733e-09
165.223364,9.357218566043646e-09
166.679727,9.354742131651008e-09
168.13609,9.351731202416653e-09
169.592453,9.34845038821437e-09
172.304323,9.345957457840273e-09
175.217049,9.344031616735503e-09
176.673412,9.343068696183117e-09
178.129776,9.343068696183117e-09
179.586139,9.343068696183117e-09
181.243359,9.343068696183117e-09
182.699721,9.343068696183117e-09
186.667098,9.343068696183117e-09
188.22389,9.343068696183117e-09
191.437901,9.342422992368944e-09
193.948914,9.340799622417635e-09
194.350627,9.339010208404708e-09
196.861641,9.33712053422818e-09
197.263353,9.335714628070915e-09
199.874795,9.335714628070915e-09
201.331158,9.335714628070915e-09
202.787522,9.335714628070915e-09
204.243885,9.335714628070915e-09
207.457895,9.335714628070915e-09
208.914259,9.335714628070915e-09
210.370622,9.335714628070915e-09
212.881635,9.335714628070915e-09
214.337998,9.335714628070915e-09
216.095645,9.335714628070915e-09
219.108801,9.335714628070915e-09
220.565163,9.335714628070915e-09
222.021526,9.335714628070915e-09
223.47789,9.335714628070915e-09
224.934253,9.335714628070915e-09
229.303343,9.335714628070915e-09
230.759706,9.335714628070915e-09
235.128795,9.335714628070915e-09
236.585158,9.335714628070915e-09
238.041522,9.336796536838086e-09
239.497885,9.339361533162674e-09
240.954248,9.339872078652646e-09
242.41061,9.339872078652646e-09
246.478416,9.339872078652646e-09
247.834351,9.339872078652646e-09
249.591998,9.339872078652646e-09
251.14879,9.339872078652646e-09
253.659803,9.339872078652646e-09
255.116167,9.339872078652646e-09
256.572529,9.339872078652646e-09
258.028893,9.339872078652646e-09
259.485256,9.339872078652646e-09
261.142476,9.339872078652646e-09
264.055202,9.339872078652646e-09
265.511565,9.339872078652646e-09
266.967928,9.339872078652646e-09
268.625148,9.339872078652646e-09
270.081511,9.339872078652646e-09
274.4506,9.339872078652646e-09
275.906963,9.339872078652646e-09
277.363326,9.339872078652646e-09
278.81969,9.338567574262235e-09
280.276053,9.337907632082745e-09
282.787067,9.334994967712327e-09
283.188779,9.32916963897149e-09
284.645142,9.326256974601071e-09
287.557869,9.321515681416076e-09
291.525246,9.308725526566941e-09
291.926958,8.959599598082296e-09
293.383321,7.453740629137002e-09
296.296048,4.949469226090202e-09
297.752411,3.0703177803386546e-09
300.464281,2.4960016892725e-09
301.920644,2.452656871552235e-09
303.377007,2.4439662000685913e-09
307.54524,2.4439662000685913e-09
309.001604,2.4439662000685913e-09
310.457967,2.4439662000685913e-09
312.014757,2.4439662000685913e-09
313.471121,2.4439662000685913e-09
316.383847,2.4439662000685913e-09
319.196145,2.4439662000685913e-09
319.597858,2.4439662000685913e-09
322.108872,2.4439662000685913e-09
323.565235,2.4439662000685913e-09
326.885492,2.4439662000685913e-09
328.341854,2.4439662000685913e-09
329.798218,2.4439662000685913e-09
331.25458,2.4439662000685913e-09
332.710943,2.4439662000685913e-09
337.080033,2.4439662000685913e-09
338.536397,2.4439662000685913e-09
339.992759,2.4439662000685913e-09
341.449123,2.4439662000685913e-09
344.361849,2.452656871552235e-09
348.329226,2.476970336652611e-09
349.785589,2.520513726267284e-09
351.241952,2.6498073232249245e-09
352.798744,2.904219216571901e-09
355.71147,3.1552548513201655e-09
357.167833,3.3042251682794193e-09
358.724624,3.4251064614378553e-09
360.381844,3.5953114932118558e-09
363.29457,3.7755243617306965e-09
365.906012,3.934845138639031e-09
367.462803,4.2605618400993505e-09
370.275101,5.350880354458264e-09
371.631036,7.562781891615783e-09
373.087399,9.831474458333514e-09
374.543762,1.0908490923100385e-08
377.858201,1.1059131670726195e-08
380.369215,1.1059131670726195e-08
379.314565,1.1059131670726195e-08
383.281942,1.1059131670726195e-08
386.495953,1.1059131670726195e-08
387.952316,1.1059131670726195e-08
389.408679,1.1059131670726195e-08
390.865042,1.1059131670726195e-08
393.878196,1.1059131670726195e-08
395.334559,1.1059131670726195e-08
396.790922,1.1059131670726195e-08
398.247286,1.1059131670726195e-08
400.758299,1.1059131670726195e-08
404.072738,1.1059131670726195e-08
405.529102,1.1059131670726195e-08
406.985464,1.1059131670726195e-08
408.441828,1.1059131670726195e-08
409.898191,1.1059131670726195e-08
413.865568,1.1059131670726195e-08
415.422359,1.1059131670726195e-08
417.079578,1.1015705512445298e-08
418.63637,1.0985829027535309e-08
420.092733,1.0937200243950213e-08
421.549096,1.0858464816626125e-08
424.260966,1.0792018818477613e-08
425.817758,1.0753556551467248e-08
427.374549,1.0721781531870157e-08
430.186847,1.0678201191618145e-08
431.743638,1.0617161786763096e-08
433.200001,1.0534164171203942e-08
434.656364,1.0446090453579531e-08
436.112728,1.039030914126242e-08
440.180532,1.035217797045633e-08
441.636896,1.0289421654234129e-08
443.09326,1.0222946480795618e-08
444.549622,1.0180944045730405e-08
448.818284,1.0143727774938438e-08
450.274646,1.0108463795187899e-08
451.731009,1.0090995271334917e-08
453.187373,1.0084027520634745e-08
454.643736,1.0076067497444082e-08
456.100099,1.0068636562555227e-08
459.414539,1.0064757215353963e-08
461.925551,1.0062711346745701e-08
462.327264,1.0061062490832677e-08
464.838278,1.0060372429234019e-08
466.294641,1.0060372429234019e-08
467.751005,1.0060372429234019e-08
469.207367,1.0060372429234019e-08
472.120093,1.0060372429234019e-08
473.576457,1.0060372429234019e-08
475.133249,1.0060372429234019e-08
478.045974,1.0060372429234019e-08
479.703194,1.0060372429234019e-08
481.159558,1.0060372429234019e-08
482.615921,1.0060372429234019e-08
484.072283,1.0060372429234019e-08
488.240516,1.0060372429234019e-08
